No.,Word,Việt Note,Phonetics,Note,Example,Type,Level
2525,senator,thượng nghị sĩ,/ˈsenətər/,a member of a senate,He was elected senator for Pennsylvania in 2004.,noun,C1
2526,senior,"nhiều tuổi hơn; cao hơn về cấp bậc hoặc chức quyền, nhiều kinh nghiệm hơn",/ˈsiːniə(r)/,"older and more experienced than the other members of a team, high or higher in rank",Two senior officials have been entrusted with organizing the auction.,adjective,C1
2527,sense,"giác quan, khả năng, ý thức",/sens/,"one of the five powers (sight, hearing, smell, taste and touch) that your body uses to get information about the world around you",I have a good sense of direction and rarely get lost.,noun,B2
2528,sensitive,"nhạy cảm, dễ bị tổn thương, dễ bị xúc động",/ˈsensətɪv/,"easily upset by the things people say or do, or causing people to be upset, embarrassed, or angry",Her reply showed that she was very sensitive to criticism.,adjective,B2
2529,sentence,(ngôn ngữ học) câu,/ˈsentəns/,"a set of words expressing a statement, a question or an order, usually containing a subject and a verb. In written English sentences begin with a capital letter and end with a full stop/period (.), a question mark (?) or an exclamation mark (!).",Does the sentence contain an adverb?,noun,A1
2530,separate,"tách rời, riêng; khác biệt",/ˈseprət/,forming a unit by itself; not joined to something else,They have begun to sleep in separate rooms.,adjective,A2
2531,sequence,chuỗi nối tiếp; tiến trình,/ˈsiːkwəns/,"a set of events, actions, numbers, etc. which have a particular order and which lead to a particular result",He described the sequence of events leading up to the robbery.,noun,B2
2532,series,"dãy, loạt, chuỗi, xê-ri",/ˈsɪəriːz/,a set of television or radio programmes or podcasts that deal with the same subject or that have the same characters,The first episode of the new series is on Saturday.,noun,A2
2533,serious,"đứng đắn; nghiêm trang, nghiêm nghị, nghiêm trọng, nghiêm túc",/ˈsɪəriəs/,thinking about things in a careful and sensible way; not silly,Be serious for a moment; this is important.,adjective,A2
2534,seriously,"(một cách) nghiêm trọng, (một cách) trầm trọng, (một cách) nghiêm túc",/ˈsɪəriəsli/,in a serious way,The doctor told me that I need to start taking my health seriously.,adverb,B1
2535,serve,phục vụ (thức ăn),/sɜːv/,"to give somebody food or drink, for example at a restaurant or during a meal",Breakfast is served between 7 and 10 a.m.,verb,A2
2536,service,dịch vụ; hệ thống dịch vụ; ngành dịch vụ,/ˈsɜːvɪs/,"a system that provides something that the public needs, organized by the government or a private company",The restaurant had excellent service and friendly staff.,noun,A2
2537,session,"buổi họp, phiên họp, kỳ họp",/ˈseʃn/,"a formal meeting or series of meetings of a court, a parliament, etc.; a period of time when such meetings are held",The conference had several informative sessions throughout the day.,noun,B2
2538,setting,"khung cảnh, cảnh quan, bối cảnh",/ˈsetɪŋ/,an environment where something is located; the place at which something happens,The novel's vivid setting transported me to a different time and place.,noun,B1
2539,settle,"định cư, cư trú",/ˈsetl/,"to go and live somewhere, especially permanently","After they got married, they settled in Brooklyn.",verb,B2
2540,settlement,"sự thu xếp, sự giải quyết ổn thỏa",/ˈsetlmənt/,an official agreement that ends an argument between two people or groups,The settlement agreement was reached after weeks of negotiations.,noun,C1
2541,several,"một vài, một số",/ˈsevrəl/,more than two but not very many,Several letters arrived this morning.,"determiner, pronoun",A2
2542,severe,"nghiêm khắc; khắc nghiệt, nặng nề",/sɪˈvɪə(r)/,extremely bad or serious,His injuries are severe.,adjective,B2
2543,sexual,(thuộc) giới tính,/ˈsekʃuəl/,connected with the state of being male or female,Sexual equality will not be achieved until there is more provision for childcare.,adjective,
2544,shade,bóng râm,/ʃeɪd/,"an area that is dark and cool under or behind something, for example a tree or building, because the sun’s light does not get to it",The shade of the pine tree provided some protection from the sun.,noun,B2
2545,shadow,"bóng, bóng tối, bóng râm, bóng mát",/ˈʃædəʊ/,"the dark shape that somebody/something’s form makes on a surface, for example on the ground, when they are between the light and the surface","The children were having fun, chasing each other's shadows.",noun,B2
2546,shake,"rung, lắc, giũ",/ʃeɪk/,to move or make somebody/something move with short quick movements from side to side or up and down,The whole house shakes when a train goes past.,verb,A2
2547,shape,"hình, hình dạng, hình thù, vóc dáng",/ʃeɪp/,the particular physical form or appearance of somebody or something,She's been working hard to get in shape for the upcoming marathon.,noun,
2548,share,"chia sẻ, phân chia, phân phối",/ʃeə(r)/,to have part of something while another person or other people also have part,All members of the band equally share the band's profits.,verb,A1
2549,sharp,sắc; nhọn,/ʃɑːp/,"having a fine edge or point, especially of something that can cut or make a hole in something",Be careful when handling the knife - it's very sharp.,adjective,B2
2550,sheet,"tấm trải giường, ga trải giường",/ʃiːt/,a large piece of thin cloth used on a bed to lie on or lie under,Have you changed the sheets?,noun,A2
2551,shelf,"kệ, ngăn, giá (để đặt các thứ lên)",/ʃelf/,"a flat board, made of wood, metal, glass, etc., fixed to the wall or forming part of a cupboard, bookcase, etc., for things to be placed on",I helped him put up some shelves in his bedroom.,noun,B1
2552,shell,"vỏ (trứng, sò, ốc…), mai (cua…)",/ʃel/,"the hard outer part of eggs, nuts, some seeds, and some animals",We collected shells on the beach.,noun,B1
2553,shelter,"sự trú ẩn, sự trú, sự núp, nơi trú ngụ, chỗ ở",/ˈʃeltə(r)/,"the fact of having a place to live or stay, considered as a basic human need","Human beings need food, clothing and shelter.",noun,B2
2554,shift,"đổi chỗ, dời chỗ, di chuyển; thay",/ʃɪft/,"to move, or move something, from one position or place to another",Lydia shifted uncomfortably in her chair.,verb,B2
2555,shine,"chiếu sáng, tỏa sáng; soi sáng",/ʃaɪn/,to produce or reflect light; to be bright,The sun is shining brightly today.,verb,B1
2556,ship,tàu (thủy),/ʃɪp/,a large boat that carries people or goods by sea,The yard builds ships for the Navy.,noun,A2
2557,shirt,áo sơ mi,/ʃɜːt/,"a piece of clothing (usually for men), worn on the upper part of the body, made of light cloth, with sleeves and usually with a collar and buttons down the front",He forgot to iron his shirt before the job interview.,noun,A1
2558,shock,"cú sốc, cú choáng",/ʃɒk/,"a strong feeling of surprise as a result of something happening, especially something unpleasant; the event that causes this feeling",The unexpected news of her father's illness came as a shock to her.,noun,B2
2559,shore,"bờ (biển, hồ lớn)",/ʃɔː(r)/,"the land along the edge of the sea, the ocean or a lake",I walked along the shore and watched the waves crashing onto the beach.,noun,B2
2560,short,"ngắn, thấp",/ʃɔːt/,"small in length, distance, or height",He had short curly hair.,adjective,A1
2561,shortly,"không lâu, sớm, chẳng bao lâu",/ˈʃɔːtli/,a short time; not long,She arrived shortly after us.,adverb,B2
2562,shoulder,vai,/ˈʃəʊldə(r)/,either of the two parts of the body between the top of each arm and the neck,She carried the heavy bag on her shoulder all day.,noun,A2
2563,shout,"kêu la, hét, hò reo",/ʃaʊt/,to say something in a loud voice; to speak loudly/angrily to somebody,Stop shouting and listen!,verb,A2
2564,show,"cho xem, cho thấy, trình diễn, thể hiện",/ʃəʊ/,to make it possible for something to be seen,It just goes to show what you can do when you really try.,verb,A1
2565,shower,vòi hoa sen,/ˈʃaʊə(r)/,a device that releases drops of water through a lot of very small holes and that you stand under to wash your whole body,The shower is broken - you'll have to have a bath.,noun,A1
2566,shrug,nhún vai,/ʃrʌɡ/,to raise your shoulders and then drop them to show that you do not know or care about something,Sam shrugged and said nothing.,verb,C1
2567,shut,"đóng, khép, đậy, nút, nhắm, ngậm, gập",/ʃʌt/,to close something; to become closed,The window won't shut.,verb,A2
2568,sigh,"thở dài (biểu hiện sự buồn rầu, mệt mỏi..)",/saɪ/,"to take and then let out a long deep breath that can be heard, to show that you are disappointed, sad, tired, etc.",He sighed deeply at the thought.,verb,C1
2569,sight,thị giác; thị lực,/saɪt/,the ability to see,The disease has affected her sight.,noun,B1
2570,sign,dấu hiệu; ký hiệu,/saɪn/,"an event, an action, a fact, etc. that shows that something exists, is happening or may happen in the future","Looking back, I should have seen the signs.",noun,A2
2571,signal,"dấu hiệu, tín hiệu; hiệu lệnh",/ˈsɪɡnəl/,"a movement or sound that you make to give somebody information, instructions, a warning, etc.","When she gave them the signal, they all cheered.",noun,B2
2572,significance,"tầm quan trọng, ý nghĩa",/sɪɡˈnɪfɪkəns/,"the importance of something, especially when this has an effect on what happens in the future",The discovery of the DNA structure was of great significance to the field of biology.,noun,B2
2573,significant,"quan trọng, đáng kể",/sɪɡˈnɪfɪkənt/,large or important enough to have an effect or to be noticed,There are no significant differences between the two groups of students.,adjective,B2
2574,significantly,(một cách) quan trọng; (một cách) đáng kể,/sɪɡˈnɪfɪkəntli/,in a way that is large or important enough to have an effect on something or to be noticed,The new regulations will significantly impact the company's profits.,adverb,B2
2575,silence,"sự yên lặng, sự yên tĩnh",/ˈsaɪləns/,a complete lack of noise or sound,Their footsteps echoed in the silence.,noun,B2
2576,silent,yên lặng; yên tĩnh; lặng lẽ,/ˈsaɪlənt/,where there is little or no sound; making little or no sound,At last the traffic fell silent.,adjective,B1
2577,silver,bạc,/ˈsɪlvə(r)/,a chemical element,The necklace was adorned with beautiful silver charms.,noun,A2
2578,similar,"giống nhau, tương tự",/ˈsɪmələ(r)/,like somebody/something but not exactly the same,We have very similar interests.,adjective,A1
2579,similarly,"(một cách) giống nhau, (một cách) tương tự",/ˈsɪmələli/,in almost the same way,It is a little cheaper than other similarly sized cars.,adverb,B1
2580,sink,"chìm, ngập",/sɪŋk/,to go down below the surface or towards the bottom of a liquid or soft substance,We all thought we were done for when the boat started to sink.,verb,B1
2581,situation,"tình thế, tình hình",/ˌsɪtʃuˈeɪʃn/,all the circumstances and things that are happening at a particular time and in a particular place,The situation was getting out of control.,noun,A1
2582,ski,ván trượt tuyết,/skiː/,"one of a pair of long narrow pieces of wood, metal or plastic that you attach to boots so that you can move smoothly over snow",How wide are your skis?,noun,A2
2583,skill,kỹ năng,/skɪl/,the ability to do something well,The job requires skill and an eye for detail.,noun,A1
2584,skin,"da, bì",/skɪn/,the layer of tissue that covers the body,The snake sheds its skin once a year.,noun,A2
2585,sky,trời; bầu trời,/skaɪ/,"the space above the earth that you can see when you look up, where clouds and the sun, moon and stars appear",The sky suddenly went dark and it started to rain.,noun,A2
2586,slave,nô lệ,/sleɪv/,a person who is owned by another person and is forced to work for them,"A former slave, he graduated from Clafflin University in South Carolina.",noun,B2
2587,slice,"lát, miếng",/slaɪs/,"a thin flat piece of bread, meat, cheese, etc. that has been cut off a larger piece; a piece of cake that has been cut from a larger cake",Cut the meat into thin slices.,noun,B1
2588,slide,"đẩy, trượt",/slaɪd/,to move easily over a smooth or wet surface; to make something move in this way,"As I turned left on a bend, my car started to slide.",verb,B2
2589,slight,"nhẹ, nhỏ, không đáng kể",/slaɪt/,very small in degree,A slight breeze was blowing.,adjective,B2
2590,slightly,"sơ sơ, hơi, nhỏ, nhẹ, không đáng kể",/ˈslaɪtli/,a little,He seemed slightly embarrassed.,adverb,B1
2591,slip,"trượt, tuột",/slɪp/,to slide a short distance by accident so that you fall or nearly fall,She slipped and landed flat on her back.,verb,B2
2592,smooth,"nhẵn, phẳng",/smuːð/,"completely flat and even, without any rough areas or holes",The surface of the lake was so calm and smooth that it looked like a giant mirror.,adjective,B2
2593,snap,làm gãy,/snæp/,to cause something that is thin to break suddenly and quickly with a cracking sound,You'll snap that ruler if you bend it too far.,verb,C2
2594,soccer,môn bóng đá,/ˈsɒkə(r)/,"a game played by two teams of 11 players, using a round ball which players kick up and down the playing field. Teams try to kick the ball into the other team’s goal.",I played soccer when I was younger.,noun,A2
2595,social,(thuộc) xã hội,/ˈsəʊʃl/,connected with activities in which people meet each other for pleasure,She has a busy social life.,adjective,A2
2596,society,xã hội,/səˈsaɪəti/,"people in general, living together in communities",She believes that the arts benefit society as a whole.,noun,A2
2597,soft,"mềm, dẻo, dễ uốn, dễ cắt",/sɒft/,changing shape easily when pressed; not stiff or hard,The kitten's fur was so soft to the touch.,adjective,A2
2598,software,phần mềm (máy điện toán),/ˈsɒftweə(r)/,the programs used by a computer for doing particular jobs,The software update fixed several bugs in the program.,noun,B1
2599,soil,đất,/sɔɪl/,"the top layer of the earth in which plants, trees, etc. grow",The soil in this area is rich and fertile.,noun,B1
2600,solar,dùng năng lượng mặt trời,/ˈsəʊlər/,using the sun’s energy,Many people here are turning to solar power.,adjective,B2
2601,soldier,"lính, binh sĩ",/ˈsəʊldʒə(r)/,"a member of an army, especially one who is not an officer",They visited the graves of US soldiers killed in the First World War.,noun,A2
2602,solid,cứng rắn,/ˈsɒlɪd/,hard; not in the form of a liquid or gas,The planet Jupiter may have no solid surface at all.,adjective,B1
2603,solution,giải pháp,/səˈluːʃn/,a way of solving a problem or dealing with a difficult situation,Attempts to find a solution have failed.,noun,A2
2604,solve,"giải quyết, tháo gỡ (vấn đề, khó khăn..)",/sɒlv/,to find a way of dealing with a problem or difficult situation,Attempts are being made to solve the problem of waste disposal.,verb,A2
2605,soon,"chẳng bao lâu nữa, chẳng mấy chốc nữa; ngay",/suːn/,in a short time from now; a short time after something else has happened,She sold the house soon after her husband died.,adverb,A1
2606,sophisticated,"tinh vi, phức tạp, rắc rối; công phu",/səˈfɪstɪkeɪtɪd/,clever and complicated in the way that it works or is presented,The new smartphone features a sophisticated facial recognition system that can accurately identify the user.,adjective,B2
2607,sort,"loại, hạng, thứ",/sɔːrt/,a group or type of people or things that are similar in a particular way,"‘What sort of music do you like?’ ‘Oh, all sorts.’",noun,A2
2608,soul,linh hồn,/səʊl/,"the spiritual part of a person, believed to exist after death",He believed his immortal soul was in peril.,noun,B2
2609,soup,"xúp, canh",/suːp/,"a liquid food made by boiling meat, vegetables, etc. in water, often eaten as the first course of a meal",I had a delicious bowl of hot soup for lunch.,noun,A1
2610,source,nguồn; nguồn gốc (nơi mà từ đó cái gì đến hoặc thu được),/sɔːrs/,"a place, person or thing that you get something from",The journalist was determined to uncover the source of the leaked documents.,noun,A2
2611,space,"vũ trụ, không gian",/speɪs/,the area outside the earth’s atmosphere where all the other planets and stars are,Valentina Tereshkova was the first woman in space.,noun,A1
2612,speaker,"người nói chuyện, diễn giả",/ˈspiːkə(r)/,a person who gives a talk or makes a speech,He was a guest speaker at the conference.,noun,B2
2613,special,đặc biệt,/ˈspeʃl/,not ordinary or usual; different from what is normal,The school will only allow this in special circumstances.,adjective,A1
2614,specialist,bác sĩ chuyên khoa,/ˈspeʃəlɪst/,a doctor who has specialized in a particular area of medicine,You need to see a specialist.,noun,B2
2615,species,loài,/ˈspiːʃiːz/,"a group into which animals, plants, etc. that are able to have sex with each other and produce healthy young are divided, smaller than a genus and identified by a Latin name",There are many different species of birds in this forest.,noun,B2
2616,specific,"chi tiết; chính xác, cụ thể",/spəˈsɪfɪk/,connected with one particular thing only,I need you to be more specific in your request.,adjective,B1
2617,specifically,"(một cách) riêng biệt, đặc biệt",/spəˈsɪfɪkli/,connected with or intended for one particular thing only,I specifically asked for a medium rare steak.,adverb,B1
2618,speech,sự nói; khả năng nói,/spiːtʃ/,the ability to speak,Children usually develop speech in the second year of life.,noun,B2
2619,speed,"tốc độ, vận tốc",/spiːd/,the rate at which somebody/something moves or travels,She was driving at an alarming speed down the highway.,noun,A2
2620,spin,quay,/spɪn/,"to (cause to) turn around and around, especially fast",The earth spins on its axis.,verb,
2621,spirit,"tinh thần, tâm thần",/ˈspɪrɪt/,a person’s feelings or state of mind,You are underestimating the power of the human spirit to overcome difficulties.,noun,B2
2622,spiritual,(thuộc) tinh thần; (thuộc) tâm hồn; (thuộc) tâm linh,/ˈspɪrɪtʃuəl/,"connected with the human spirit, rather than the body or physical things","After visiting the ancient temple, she felt a strong spiritual connection to the universe.",adjective,B2
2623,split,chẻ; bổ; chia tách,/splɪt/,"to divide, or to make something divide, into two or more parts",He was a member of the team that split the atom in 1932.,verb,B2
2624,spokesman,người phát ngôn,/ˈspəʊksmən/,a person who speaks for a group or an organization,The spokesman for the company declined to comment on the rumors.,noun,B2
2625,sport,thể thao,/spɔːt/,"activity that you do for pleasure and that needs physical effort or skill, usually done in a special area and according to fixed rules",There are excellent facilities for sport and recreation.,noun,A1
2626,spot,"đốm, vết",/spɒt/,a small round area that has a different colour or feels different from the surface it is on,"Which has spots, the leopard or the tiger?",noun,B1
2627,spread,trải ra; truyền bá; lan rộng,/spred/,"to affect or make something affect, be known by, or be used by more and more people",The news had spread and was causing great excitement.,verb,C1
2628,spring,mùa xuân,/sprɪŋ/,"the season of the year between winter and summer, lasting from March to June north of the equator, and from September to December south of the equator, when the weather becomes warmer, leaves and plants start to grow again and flowers appear",I love spring.,noun,B2
2629,square,vuông,/skweə(r)/,having four straight equal sides and four angles of 90°,The carpenter measured the dimensions of the wooden board to ensure it was a perfect square.,adjective,B2
2630,squeeze,"ép, vắt, bóp, siết chặt",/skwiːz/,"to press something, especially with your fingers",Cut the lemon in half and squeeze the juice into the bowl.,verb,C1
2631,stability,"sự ổn định, sự bền vững",/stəˈbɪləti/,the quality or state of being steady and not changing or being upset in any way (= the quality of being stable),The new government policy has brought a sense of stability to the financial markets.,noun,C1
2632,stable,"ổn định, bền vững",/ˈsteɪbl/,"fixed or steady; not likely to move, change or fail",The patient's condition is stable.,adjective,B2
2633,staff,nhân viên,/stɑːf/,all the workers employed in an organization considered as a group,The staff at the hotel were friendly and helpful.,noun,B1
2634,stage,"sàn diễn, sân khấu",/steɪdʒ/,"a raised area, usually in a theatre, etc. where actors, dancers, etc. perform",The actors were getting ready backstage before their big stage performance.,noun,B1
2635,stair,bậc cầu thang,/ster/,one of the steps in a set of stairs,The child was sitting on the bottom stair.,noun,A2
2636,stake,"cọc (đóng xuống đất để đánh dấu cái gì, để làm cái đỡ cho cây trồng…)",/steɪk/,"a wooden or metal post that is pointed at one end and pushed into the ground in order to support something, mark a particular place, etc.",Tall plants can be secured by tying them to stakes.,noun,C1
2637,standard,tiêu chuẩn; chuẩn mực,/ˈstændəd/,"a level of quality, especially one that people think is acceptable",There has been a fall in living standards.,noun,B2
2638,stare,nhìn chằm chằm; trố (mắt) nhìn,/steə(r)/,"used to describe something that you have failed to see, even though it was obvious and should have been easy to see",I screamed and everyone stared.,verb,B2
2639,state,"tình trạng, trạng thái",/steɪt/,"the mental, emotional or physical condition that a person or thing is in",The building was in a state of disrepair.,noun,B2
2640,statement,"bản kê in sẵn, bản sao kê, bản báo cáo (tài chính)",/ˈsteɪtmənt/,"a printed record of money paid, received, etc.",The directors are responsible for preparing the company's financial statements.,noun,B2
2641,station,nhà ga,/ˈsteɪʃn/,a place where trains stop so that passengers can get on and off; the buildings connected with this,I arrived at the station just in time to catch the train.,noun,A1
2642,statistics,số liệu thống kê, /stəˈtɪs·tɪks/,a collection of information shown in numbers,Analysis of crime statistics showed high levels of violent crime within the area.,noun,B1
2643,status,"địa vị, cương vị, vị thế",/ˈsteɪtəs/,"the legal position of a person, group or country",The association works to promote the status of retired people as active and useful members of the community.,noun,B2
2644,steady,"vững, chắc",/ˈstedi/,not changing and not interrupted,He held the boat steady as she got in.,adjective,B2
2645,steal,"ăn cắp, ăn trộm",/stiːl/,"to take something from a person, shop, etc. without permission and without intending to return it or pay for it",I'll report you to the police if I catch you stealing again.,verb,A2
2646,steel,thép,/stiːl/,"a strong, hard metal that is made of a mixture of iron and carbon",The construction of the skyscraper required a lot of steel.,noun,B2
2647,step,bước,/step/,one of a series of things that you do in order to achieve something,We are taking steps to prevent pollution.,noun,B2
2648,stick,"dán, dính",/stɪk/,"to fix something to something else, usually with a sticky substance; to become fixed to something in this way",I tried to stick the pieces together with some glue.,verb,B1
2649,still,"vẫn còn, vẫn",/stɪl/,continuing until a particular point in time and not finishing,I am very happy that you all are still alive and well.,adverb,A1
2650,stir,"khuấy, quấy",/stɜː(r)/,"to move a liquid or substance around, using a spoon or something similar, in order to mix it completely",She stirred her tea.,verb,C1
2651,stock,"cổ phần, cố phiếu",/stɒk/,a share that somebody has bought in a company or business,The company's stock price has been steadily increasing over the past few months.,noun,B2
2652,stomach,"dạ dày, bao tử",/ˈstʌmək/,the organ inside the body where food goes when you eat it,I can't eat too much at once because I have a sensitive stomach.,noun,A2
2653,stone,đá,/stəʊn/,"a hard solid mineral substance that is found in the ground, often used for building",Most of the houses are built of stone.,noun,A2
2654,stop,"ngừng, ngưng; dừng",/stɒp/,to no longer move; to make somebody/something no longer move,The car stopped at the traffic lights.,verb,A1
2655,storage,"sự cất trữ, sự lưu trữ",/ˈstɔːrɪdʒ/,the process of keeping something in a particular place until it is needed; the space where things can be kept,The company has invested in a new storage facility to accommodate their growing inventory.,noun,C1
2656,store,cửa hàng,/stɔː(r)/,a large shop that sells many different types of goods,It's available at London's three biggest stores.,noun,A2
2657,storm,"cơn bão, dông tố",/stɔːm/,"very bad weather with strong winds and rain, and often thunder and lightning",The storm outside is getting stronger.,noun,A2
2658,story,câu chuyện; truyện,/ˈstɔːri/,a description of events and people that the writer or speaker has invented in order to entertain people,The book I'm reading has an interesting story.,noun,A1
2659,straight,thẳng,/streɪt/,not in a curve or at an angle; in a straight line,Keep straight on for two miles.,adverb,A2
2660,strange,kỳ lạ; lạ thường; gây ngạc nhiên; lập dị,/streɪndʒ/,"unusual or surprising, especially in a way that is difficult to understand",A strange thing happened this morning.,adjective,A2
2661,stranger,người lạ,/ˈstreɪndʒə(r)/,a person that you do not know,There was a complete stranger sitting at my desk.,noun,B1
2662,strategic,(thuộc) chiến lược,/strəˈtiːdʒɪk/,done as part of a plan that is meant to achieve a particular purpose or to gain an advantage,Strategic planning is essential for the long-term success of any organization.,adjective,C1
2663,strategy,chiến lược,/ˈstrætədʒi/,the process of planning something or putting a plan into operation,Developing a good marketing strategy is crucial for the success of any business.,noun,B2
2664,stream,"suối, dòng suối",/striːm/,"a small, narrow river",We waded across a little mountain stream.,noun,B2
2665,street,"đường phố, phố",/striːt/,a public road in a city or town that has houses and buildings on one side or both sides,I was just walking along the street when it happened.,noun,A1
2666,strength,"sức mạnh, sức lực",/streŋkθ/,the quality of being physically strong,He pushed against the rock with all his strength.,noun,B1
2667,strengthen,củng cố; tăng cường,/ˈstreŋkθn/,to become more powerful or effective; to make somebody/something more powerful or effective,Her position in the party has strengthened in recent weeks.,verb,B2
2668,stress,sự căng thẳng,/stres/,pressure or worry caused by the problems in somebody’s life,Too much stress can have a negative impact on both physical and mental health.,noun,B2
2669,stretch,"kéo dài ra, căng ra, giăng ra, duỗi ra; giãn ra",/stretʃ/,"to make something longer, wider or looser, for example by pulling it; to become longer, etc. in this way",Is there any way of stretching shoes?,verb,B2
2670,strike,sự đình công; cuộc đình công,/straɪk/,a period of time when an organized group of employees of a company stops working because of an argument over pay or conditions,The workers threatened to go on strike if their demands for better pay and working conditions were not met.,noun,B2
2671,string,dây,/strɪŋ/,"long, thin material used for tying things together, made of several threads that have been twisted together; a piece of string used to fasten or pull something or keep something in place",I tied a knot in the string to keep it from unraveling.,noun,B1
2672,strip,cởi đồ,/strɪp/,"to remove, pull, or tear the covering or outer layer from something",I stripped and washed myself all over.,verb,
2673,stroke,(thể thao) hành động đánh quả bóng; cú đánh dùng làm đơn vị ghi điểm; cú đánh,/strəʊk/,"an act of hitting a ball, for example with a bat or racket",What a beautiful stroke!,noun,B2
2674,structure,"kết cấu, cấu trúc",/ˈstrʌktʃə(r)/,"the way in which the parts of something are connected together, arranged or organized; a particular arrangement of parts",The structure of the building was designed to withstand earthquakes.,noun,A2
2675,struggle,cố gắng; vật lộn; đấu tranh,/ˈstrʌɡl/,to try very hard to do something when it is difficult or when there are a lot of problems,She struggled to keep up with the pace of the marathon runners.,verb,B2
2676,studio,xưởng phim; trường quay; phòng thu âm,/ˈstjuːdiəʊ/,"a room where radio or television programmes are recorded and broadcast from, or where music is recorded",I am recording this message in a cozy recording studio.,noun,B1
2677,stuff,"chất, chất liệu, món đồ, thứ đồ",/stʌf/,"used to refer to a substance, material, group of objects, etc. when you do not know the name, when the name is not important or when it is obvious what you are talking about",What's all that sticky stuff on the carpet?,noun,B2
2678,style,"phong cách, tác phong",/staɪl/,"a way of doing something, especially one that is typical of a person, group of people, place, or period","Jones favours a dynamic, hands-on style of management.",noun,A1
2679,subject,"chủ đề, đề tài",/ˈsʌbdʒɪkt/ /ˈsʌbdʒekt/,"a thing or person that is being discussed, described or dealt with",Walker's work has been the subject of much debate.,noun,A1
2680,subsequent,"theo sau, tiếp sau",/ˈsʌbsɪkwənt/,happening or coming after something else,"After the initial phase of the project, subsequent tasks will become more complex.",adjective,B2
2681,substance,chất,/ˈsʌbstəns/,"a type of solid, liquid or gas that has particular qualities",The doctor analyzed the substance to identify its chemical properties.,noun,B1
2682,substantial,lớn lao; đáng kể; quan trọng; trọng yếu,/səbˈstænʃl/,"large in amount, value or importance",The benefits of exercise are substantial for both physical and mental health.,adjective,C1
2683,succeed,thành công,/səkˈsiːd/,to achieve something that you have been trying to do or get; to have the result or effect that was intended,Our plan succeeded.,verb,A2
2684,sudden,đột ngột,/ˈsʌdn/,happening or done quickly and unexpectedly,News of his sudden and unexpected death came as a great shock.,adjective,B1
2685,suddenly,"bất thình lình, bất chợt",/ˈsʌdənli/,quickly and unexpectedly,I suddenly realized what I had to do.,adverb,A2
2686,sue,kiện,/suː/,to make a claim against a person or an organization in court about something that they have said or done to harm you,They threatened to sue if the work was not completed.,verb,C1
2687,suffer,đau; đau khổ; chịu đựng,/ˈsʌfə(r)/,"to be badly affected by a disease, pain, sad feelings, a lack of something, etc.",I hate to see animals suffering.,verb,B1
2688,sufficient,đủ,/səˈfɪʃnt/,enough for a particular purpose; as much as you need,Allow sufficient time to get there.,adjective,B2
2689,suggest,"gợi ý, đề nghị, đề xuất",/səˈdʒest/,to put forward an idea or a plan for other people to think about,I'd like to suggest a different explanation for the company's decline.,verb,B2
2690,suggestion,"sự đề xuất; sự đề nghị, sự gợi ý, sự được gợi ý",/səˈdʒestʃən/,an idea or a plan that you mention for somebody else to think about,Can I make a suggestion?,noun,A2
2691,suicide,sự tự sát; vụ tự sát,/ˈsuːɪsaɪd/,the act of killing yourself deliberately,It is important to seek help and support if you or someone you know is struggling with thoughts of suicide.,noun,C1
2692,suit,"bộ quần áo, bộ com-lê, bộ vest",/suːt/,"a set of clothes made of the same cloth, including a jacket and trousers or a skirt",He was wearing a grey business suit.,noun,A2
2693,summer,"mùa hè, mùa hạ",/ˈsʌmə(r)/,"the warmest season of the year, coming between spring and autumn",We're going away in the summer.,noun,A1
2694,summit,"chóp, đỉnh (núi)",/ˈsʌmɪt/,"the highest point of something, especially the top of a mountain",We reached the summit at noon.,noun,C1
2695,super,tuyệt vời; cực kỳ tốt,/ˈsuːpər/,extremely good,We had a super time in Italy.,adjective,B2
2696,supply,"sự cung cấp, sự cung ứng",/səˈplaɪ/,the act of supplying something; the fact of receiving something that is being supplied,The demand for hand sanitizers during the pandemic has resulted in a shortage of supply.,noun,B2
2697,support,"ủng hộ, hỗ trợ",/səˈpɔːrt/,"to agree with and give encouragement to someone or something because you want him, her, or it to succeed",My father supported the Labour Party all his life.,verb,B2
2698,supporter,người ủng hộ,/səˈpɔːtə(r)/,"a person who supports a political party, an idea, etc.",The candidate was cheered on by her supporters during the campaign rally.,noun,B1
2699,suppose,cho là; tin rằng; nghĩ rằng,/səˈpəʊz/,to think or believe that something is true or possible (based on the knowledge that you have),Getting a visa isn't as simple as you might suppose.,verb,A2
2700,supposed,"được cho là; tưởng là, chỉ là giả thiết",/səˈpəʊzd/ /səˈpəʊzɪd/,"used to show that you think that a claim, statement or way of describing somebody/something is not true or correct, although it is generally believed to be",This is the opinion of the supposed experts.,adjective,
2701,surface,mặt ngoài; bề mặt,/ˈsɜːfɪs/,the outside or top layer of something,"We need a flat, smooth surface to play the game on.",noun,B2
2702,surgery,"(y học) phẫu thuật, sự mổ",/ˈsɜːdʒəri/,medical treatment of injuries or diseases that involves cutting open a person’s body and often removing or replacing some parts; the branch of medicine connected with this treatment,"She was nervous about her upcoming surgery, but her doctor assured her that it was a routine procedure.",noun,B2
2703,surprise,"sự ngạc nhiên, sự bất ngờ",/səˈpraɪz/,a feeling caused by something happening suddenly or unexpectedly,What a nice surprise!,noun,A2
